epoch,step,train_acc,train_loss_epoch,train_loss_step,val_acc,val_loss_epoch,val_loss_step
0,9,,,0.10685326904058456,,,
0,19,,,0.02197568491101265,,,
0,29,,,0.06009979173541069,,,
0,39,,,0.02361861802637577,,,
0,49,,,0.029592148959636688,,,
0,59,,,0.0747874304652214,,,
0,69,,,0.015360514633357525,,,
0,79,,,0.014487172476947308,,,
0,89,,,0.021448712795972824,,,
0,99,,,0.09717173874378204,,,
0,109,,,0.094977468252182,,,
0,119,,,0.04539494961500168,,,
0,129,,,0.04567132890224457,,,
0,139,,,0.04411792755126953,,,
0,149,,,0.04883076623082161,,,
0,159,,,0.12240098416805267,,,
0,169,,,0.08618779480457306,,,
,0,,,,,,0.9100543260574341
,1,,,,,,4.375168323516846
,2,,,,,,0.08398770540952682
,3,,,,,,2.42600217461586e-05
,4,,,,,,5.33396378159523e-05
,5,,,,,,0.00020167045295238495
,6,,,,,,1.6585923731327057e-05
,7,,,,,,0.0001065591350197792
,8,,,,,,3.954395651817322e-05
,9,,,,,,0.6714270114898682
,10,,,,,,1.463587760925293
,11,,,,,,3.403986930847168
,12,,,,,,2.018739700317383
,13,,,,,,0.059153907001018524
,14,,,,,,1.640895128250122
,15,,,,,,0.36499255895614624
,16,,,,,,0.7589417099952698
,17,,,,,,3.43048095703125
,18,,,,,,4.085334777832031
,19,,,,,,1.648549199104309
,20,,,,,,1.4146790504455566
,21,,,,,,0.9138401746749878
,22,,,,,,1.8475275039672852
,23,,,,,,0.7247297763824463
,24,,,,,,0.10949397087097168
,25,,,,,,0.45624303817749023
,26,,,,,,0.16327011585235596
,27,,,,,,0.05436098575592041
,28,,,,,,0.016839057207107544
,29,,,,,,0.06842543929815292
,30,,,,,,0.0004105493426322937
,31,,,,,,0.05727432668209076
,32,,,,,,0.03733045980334282
,33,,,,,,0.015115057118237019
,34,,,,,,2.104230225086212e-05
,35,,,,,,0.0034521063789725304
,36,,,,,,0.0010476987808942795
0,175,,,,97.9189224243164,0.8324271440505981,
0,175,125.38941955566406,0.06274091452360153,,,,
1,179,,,0.14119669795036316,,,
1,189,,,0.03164231404662132,,,
1,199,,,0.05727344751358032,,,
1,209,,,0.02476542815566063,,,
1,219,,,0.047680165618658066,,,
1,229,,,0.15933093428611755,,,
1,239,,,0.03317246958613396,,,
1,249,,,0.0990668311715126,,,
1,259,,,0.07770467549562454,,,
1,269,,,0.13680016994476318,,,
1,279,,,0.08416120707988739,,,
1,289,,,0.10916012525558472,,,
1,299,,,0.10719361901283264,,,
1,309,,,0.037308137863874435,,,
1,319,,,0.08047018945217133,,,
1,329,,,0.09164614975452423,,,
1,339,,,0.09451005607843399,,,
1,349,,,0.11448891460895538,,,
,37,,,,,,2.105013847351074
,38,,,,,,5.785855293273926
,39,,,,,,0.09075930714607239
,40,,,,,,4.498288035392761e-07
,41,,,,,,5.941838026046753e-07
,42,,,,,,2.2407621145248413e-06
,43,,,,,,2.6170164346694946e-07
,44,,,,,,1.751817762851715e-06
