epoch,step,train_loss_epoch,train_loss_step
0,9,,0.1662323772907257
0,19,,0.11270857602357864
0,29,,0.15549278259277344
0,39,,0.02100341022014618
0,49,,0.019854171201586723
0,59,,0.018090786412358284
0,69,,0.03368411958217621
0,79,,0.00536892656236887
0,89,,0.001641061156988144
0,99,,0.00261538103222847
0,109,,0.0003974437713623047
0,119,,0.1476813107728958
0,129,,0.018486779183149338
0,139,,0.0063919201493263245
0,149,,0.0023894496262073517
0,159,,0.001288202591240406
0,165,0.06066478043794632,
1,169,,0.001008443534374237
1,179,,0.0005566366016864777
1,189,,0.0009696623310446739
1,199,,0.0002116849645972252
1,209,,0.0001892009750008583
1,219,,0.00011974480003118515
1,229,,0.00015552621334791183
1,239,,0.000127292238175869
1,249,,0.00011829286813735962
1,259,,0.00010963995009660721
1,269,,0.00010246317833662033
1,279,,8.815526962280273e-05
1,289,,0.00011343322694301605
1,299,,9.899493306875229e-05
1,309,,7.66310840845108e-05
1,319,,9.221956133842468e-05
1,329,,9.187497198581696e-05
1,331,0.00019550301658455282,
2,339,,6.741750985383987e-05
2,349,,6.851181387901306e-05
2,359,,5.900673568248749e-05
2,369,,5.70882111787796e-05
2,379,,5.4066069424152374e-05
2,389,,4.948209971189499e-05
2,399,,6.287358701229095e-05
2,409,,5.003158003091812e-05
2,419,,5.098897963762283e-05
2,429,,5.0681643187999725e-05
2,439,,3.474019467830658e-05
2,449,,4.6554021537303925e-05
2,459,,3.8729049265384674e-05
2,469,,3.4389086067676544e-05
2,479,,3.817025572061539e-05
2,489,,2.9741786420345306e-05
2,497,4.9061451136367396e-05,
3,499,,3.15764918923378e-05
3,509,,3.0800700187683105e-05
3,519,,2.6594847440719604e-05
3,529,,3.583356738090515e-05
3,539,,3.2345764338970184e-05
3,549,,2.8285197913646698e-05
3,559,,2.3894011974334717e-05
3,569,,3.171991556882858e-05
3,579,,2.6996247470378876e-05
3,589,,3.086775541305542e-05
3,599,,2.7243979275226593e-05
3,609,,2.0825304090976715e-05
3,619,,2.3682601749897003e-05
3,629,,2.3524276912212372e-05
3,639,,1.8640421330928802e-05
3,649,,1.9059516489505768e-05
3,659,,1.9924715161323547e-05
3,663,2.6548432288109325e-05,
4,669,,2.0845793187618256e-05
4,679,,1.899339258670807e-05
4,689,,1.6527250409126282e-05
4,699,,1.8308870494365692e-05
4,709,,1.7263926565647125e-05
4,719,,1.6726553440093994e-05
4,729,,1.888163387775421e-05
4,739,,1.7683953046798706e-05
4,749,,1.7425045371055603e-05
4,759,,1.740269362926483e-05
4,769,,1.7852522432804108e-05
4,779,,1.21360644698143e-05
4,789,,2.1358951926231384e-05
4,799,,1.8874183297157288e-05
4,809,,1.4217570424079895e-05
4,819,,1.6886740922927856e-05
4,829,,1.545250415802002e-05
4,829,1.7065161955542862e-05,
5,839,,1.5628524124622345e-05
5,849,,1.3736076653003693e-05
5,859,,1.2679025530815125e-05
5,869,,1.265108585357666e-05
5,879,,1.3646669685840607e-05
5,889,,1.3151206076145172e-05
5,899,,1.1907890439033508e-05
5,909,,1.3485550880432129e-05
5,919,,1.4357268810272217e-05
5,929,,1.0730698704719543e-05
5,939,,9.539537131786346e-06
5,949,,1.1124648153781891e-05
5,959,,1.1100433766841888e-05
5,969,,1.1315569281578064e-05
5,979,,1.0264106094837189e-05
5,989,,1.065526157617569e-05
5,995,1.2063292160746641e-05,
6,999,,1.1505559086799622e-05
6,1009,,8.137896656990051e-06
6,1019,,8.983537554740906e-06
6,1029,,1.0122545063495636e-05
6,1039,,1.041218638420105e-05
6,1049,,7.907859981060028e-06
6,1059,,7.5511634349823e-06
6,1069,,1.0249204933643341e-05
6,1079,,8.733011782169342e-06
6,1089,,9.7714364528656e-06
6,1099,,7.98795372247696e-06
6,1109,,6.157904863357544e-06
6,1119,,8.095987141132355e-06
6,1129,,6.604008376598358e-06
6,1139,,7.743015885353088e-06
6,1149,,7.914379239082336e-06
6,1159,,8.254311978816986e-06
6,1161,9.04507760424167e-06,
7,1169,,7.759779691696167e-06
7,1179,,6.6319480538368225e-06
7,1189,,7.837079465389252e-06
7,1199,,7.12275505065918e-06
7,1209,,7.444992661476135e-06
7,1219,,7.088296115398407e-06
7,1229,,6.562098860740662e-06
7,1239,,7.07525759935379e-06
7,1249,,7.167458534240723e-06
7,1259,,5.37186861038208e-06
7,1269,,7.569789886474609e-06
7,1279,,8.163973689079285e-06
7,1289,,6.795860826969147e-06
7,1299,,6.776303052902222e-06
7,1309,,5.967915058135986e-06
7,1319,,5.98561018705368e-06
7,1327,7.056316917442018e-06,
8,1329,,6.0033053159713745e-06
8,1339,,6.398186087608337e-06
8,1349,,5.194917321205139e-06
8,1359,,5.749985575675964e-06
8,1369,,6.400048732757568e-06
8,1379,,4.8959627747535706e-06
8,1389,,5.973502993583679e-06
8,1399,,6.555579602718353e-06
8,1409,,6.020069122314453e-06
8,1419,,6.278976798057556e-06
8,1429,,5.7658180594444275e-06
8,1439,,5.540437996387482e-06
8,1449,,5.191192030906677e-06
8,1459,,4.743225872516632e-06
8,1469,,4.752539098262787e-06
8,1479,,4.016794264316559e-06
8,1489,,4.5532360672950745e-06
8,1493,5.663327556248987e-06,
9,1499,,5.37186861038208e-06
9,1509,,6.408430635929108e-06
9,1519,,5.555339157581329e-06
9,1529,,4.523433744907379e-06
9,1539,,4.400499165058136e-06
9,1549,,5.073845386505127e-06
9,1559,,4.210509359836578e-06
9,1569,,4.346482455730438e-06
9,1579,,4.76837158203125e-06
9,1589,,4.064291715621948e-06
9,1599,,4.37907874584198e-06
9,1609,,4.095025360584259e-06
9,1619,,4.406087100505829e-06
9,1629,,4.4675543904304504e-06
9,1639,,3.721565008163452e-06
9,1649,,4.347413778305054e-06
9,1659,,4.3101608753204346e-06
9,1659,4.6395907702390105e-06,
10,1669,,3.855675458908081e-06
10,1679,,4.4424086809158325e-06
10,1689,,4.169531166553497e-06
10,1699,,4.043802618980408e-06
10,1709,,4.170462489128113e-06
10,1719,,4.287809133529663e-06
10,1729,,4.3101608753204346e-06
10,1739,,3.973022103309631e-06
10,1749,,3.5259872674942017e-06
10,1759,,4.109926521778107e-06
10,1769,,4.421919584274292e-06
10,1779,,3.166496753692627e-06
10,1789,,3.4654513001441956e-06
10,1799,,4.069879651069641e-06
10,1809,,3.0156224966049194e-06
10,1819,,3.8119032979011536e-06
10,1825,3.868321073241532e-06,
11,1829,,3.926455974578857e-06
11,1839,,3.295019268989563e-06
11,1849,,3.5995617508888245e-06
11,1859,,2.8368085622787476e-06
11,1869,,3.844499588012695e-06
11,1879,,3.3974647521972656e-06
11,1889,,2.985820174217224e-06
11,1899,,3.07522714138031e-06
11,1909,,3.4365803003311157e-06
11,1919,,3.0258670449256897e-06
11,1929,,2.6533380150794983e-06
11,1939,,3.3034011721611023e-06
11,1949,,3.2708048820495605e-06
11,1959,,3.6265701055526733e-06
11,1969,,3.051944077014923e-06
11,1979,,3.563240170478821e-06
11,1989,,2.7064234018325806e-06
11,1991,3.2699183520890074e-06,
12,1999,,3.1562522053718567e-06
12,2009,,2.8247013688087463e-06
12,2019,,2.9103830456733704e-06
12,2029,,2.800486981868744e-06
12,2039,,3.073364496231079e-06
12,2049,,3.150664269924164e-06
12,2059,,3.032386302947998e-06
12,2069,,2.61794775724411e-06
12,2079,,2.7408823370933533e-06
12,2089,,2.8507784008979797e-06
12,2099,,3.06498259305954e-06
12,2109,,2.491287887096405e-06
12,2119,,2.414919435977936e-06
12,2129,,2.621673047542572e-06
12,2139,,2.767890691757202e-06
12,2149,,2.2416934370994568e-06
12,2157,2.7847106593981152e-06,
13,2159,,2.5723129510879517e-06
13,2169,,2.4167820811271667e-06
13,2179,,2.671964466571808e-06
13,2189,,2.5816261768341064e-06
13,2199,,2.5704503059387207e-06
13,2209,,2.378597855567932e-06
13,2219,,2.1299347281455994e-06
13,2229,,2.1727755665779114e-06
13,2239,,2.6151537895202637e-06
13,2249,,2.1243467926979065e-06
13,2259,,2.152286469936371e-06
13,2269,,2.3739412426948547e-06
13,2279,,2.2472813725471497e-06
13,2289,,1.938082277774811e-06
13,2299,,1.9259750843048096e-06
13,2309,,2.2212043404579163e-06
13,2319,,2.386048436164856e-06
13,2323,2.4046692033152794e-06,
14,2329,,2.142973244190216e-06
14,2339,,2.2007152438163757e-06
14,2349,,2.4177134037017822e-06
14,2359,,2.0582228899002075e-06
14,2369,,1.7071142792701721e-06
14,2379,,1.9688159227371216e-06
14,2389,,2.3636966943740845e-06
14,2399,,2.0740553736686707e-06
14,2409,,2.3832544684410095e-06
14,2419,,1.734122633934021e-06
14,2429,,1.885928213596344e-06
14,2439,,1.8998980522155762e-06
14,2449,,1.8915161490440369e-06
14,2459,,1.6847625374794006e-06
14,2469,,1.8747523427009583e-06
14,2479,,1.8617138266563416e-06
14,2489,,2.007000148296356e-06
14,2489,2.0940115064149722e-06,
15,2499,,1.7704442143440247e-06
15,2509,,2.0600855350494385e-06
15,2519,,1.6577541828155518e-06
15,2529,,1.9781291484832764e-06
15,2539,,1.973472535610199e-06
15,2549,,1.8225982785224915e-06
15,2559,,1.9632279872894287e-06
15,2569,,1.969747245311737e-06
15,2579,,2.1476298570632935e-06
15,2589,,1.5366822481155396e-06
15,2599,,1.8356367945671082e-06
15,2609,,1.9352883100509644e-06
15,2619,,1.7257407307624817e-06
15,2629,,1.6195699572563171e-06
15,2639,,1.751817762851715e-06
15,2649,,1.7229467630386353e-06
15,2655,1.8392274796497077e-06,
16,2659,,2.0042061805725098e-06
16,2669,,1.648440957069397e-06
16,2679,,1.6689300537109375e-06
16,2689,,1.7061829566955566e-06
16,2699,,1.6838312149047852e-06
16,2709,,1.802109181880951e-06
16,2719,,1.6316771507263184e-06
16,2729,,1.6633421182632446e-06
16,2739,,1.5487894415855408e-06
16,2749,,1.535750925540924e-06
16,2759,,1.5404075384140015e-06
16,2769,,1.7499551177024841e-06
16,2779,,1.6177073121070862e-06
16,2789,,1.4547258615493774e-06
16,2799,,1.5329569578170776e-06
16,2809,,1.5171244740486145e-06
16,2819,,1.6605481505393982e-06
16,2821,1.6189528651011642e-06,
17,2829,,1.4258548617362976e-06
17,2839,,1.451931893825531e-06
17,2849,,1.7043203115463257e-06
17,2859,,1.4156103134155273e-06
17,2869,,1.3755634427070618e-06
